bùn	mud
nhân lên, làm tăng lên nhiều lần; sinh sôi nảy nở	multiply
mẹ	mum
tội giết người, tội ám sát; giết người, ám sát	murder
cơ, bắp thịt	muscle
bảo tàng	museum
nhạc, âm nhạc	music
(thuộc) nhạc, âm nhạc; du dương, êm ái	musical
nhạc sĩ	musician
phải, cần, nên làm	must
của tôi	my
tự tôi, chính tôi	myself
thần bí, huyền bí, khó hiểu	mysterious
điều huyền bí, điều thần bí	mystery
móng (tay, chân) móng vuốt	nail
trần, khỏa thân, trơ trụi	naked
tên; đặt tên, gọi tên	name
hẹp, chật hẹp	narrow
dân tộc, quốc gia	nation
(thuộc) quốc gia, dân tộc	national
(thuộc) tự nhiên, thiên nhiên	natural
vốn, tự nhiên, đương nhiên	naturally
tự nhiên, thiên nhiên	nature
hải quân	navy
gần, cận; ở gần	near
gần	nearby
gần, sắp, suýt	nearly
sạch, ngăn nắp; rành mạch	neat
gọn gàng, ngăn nắp	neatly
cần, cần thiết, thiết yếu	necessary
tất yếu, nhất thiết	necessarily
không cần thiết, không mong muốn	unnecessary
cổ	neck
cần, đòi hỏi; sự cần	need
cái kim, mũi nhọn	needle
phủ định	negative
hàng xóm	neighbour
hàng xóm, làng giềng	neighbourhood
không này mà cũng không kia	neither
cháu trai (con anh, chị, em)	nephew
khí lực, thần kinh, can đảm	nerve
hoảng sợ, dễ bị kích thích, hay lo lắng	nervous
bồn chồn, lo lắng	nervously
tổ, ổ; làm tổ	nest
lưới, mạng	net
mạng lưới, hệ thống	network
không bao giờ, không khi nào	never
tuy nhiên, tuy thế mà	nevertheless
mới, mới mẻ, mới lạ	new
mới	newly
